autor_original	autor_normalizado
Miraens (Aubertus)	Miraens (Aubertus)
Miralles Marin (D.D. Gines)	Miralles Marin (D Gines)
Miranda (D. Pedro)	Miranda (D Pedro)
Miranda (Fr Ludovico)	Miranda (Ludovico)
Miranda (M. Giovanni)	Miranda (M Giovanni)
Mirandula (Octavian)	Mirandula (Octavian)
Mireo (Auberto)	Mireo (Auberto)
Misselli (Giuseppe)	Misselli (Giuseppe)
Modestus (F. Pacificus)	Modestus (F Pacificus)
Modio... (Francisco)	Modio (Francisco)
Moetjens (Adriano)	Moetjens (Adriano)
Moez de Hurbide (Dn Michael)	Moez de Hurbide (Dn Miguel)
Mogollon (Licdo Balthasare)	Mogollon (Licdo Balthasare)
Mohina (D. Lud.)	Mohina (D Lud.)
Mohina (Dn. Gaspare de)	Mohina (Dn Gaspare de)
Mohodano (Fr. Pedro Rodriguez)	Mohodano (Fr Pedro Rodriguez)
Mohodano (R.P. Jo.)	Mohodano (R.P Jo.)
Molani (Joannis)	Molani (Joannis)
Moles (Dn. Fadrique)	Moles (Dn Fadrique)
Molinaei (Carolus)	Molinaei (Carlos)
Molini (Francisci)	Molini (Francisco)
Molinia (El Lic?)	Molinia (El Lic?)
Mollerii (Johannis)	Mollerii (Johannis)
Monaco (Roberto)	Monaco (Roberto)
Monaña (D. Bernardino)	Monaña (D Bernardino)
Monardes (D.)	Monardes (D.)
Monasterio (Dn Juan Alonso)	Monasterio (Dn Juan Alonso)
Moncada (Dn Francisco de)	Moncada (Dn Francisco de)
Moncada (Dn Gabriel de)	Moncada (Dn Gabriel de)
Moncada (Dn Juan)	Moncada (Dn Juan)
Moncada (Dn Sancho de)	Moncada (Dn Sancho de)
Monceau (M. Duhamel de)	Monceau (M Duhamel de)
Mondejar (Marqués de)	Mondejar (Marqués de)
Monge (D. Manuel)	Monge (D Manuel)
Monitore (Sedactiano)	Monitore (Sedactiano)
Monoxin (Bernardino)	Monoxin (Bernardino)
Monrai (D. D. Josef)	Monrai (D D Josef)
Monrreal (P. Miguel)	Monrreal (P Miguel)
Monsalve (P. Jayme Fmestres)	Monsalve (P Jayme Fmestres)
Montalban (D. Juan Perez de)	Montalban (D Juan Perez de)
Montalva (D. Petri)	Montalva (D Pedro)
Montalvo (Luis Galvez de)	Montalvo (Luis Galvez de)
Montaner (Ramon)	Montaner (Ramon)
Montano (P. Ger.)	Montano (P Ger.)
Montargon (Fr. Jacinto)	Montargon (Fr Jacinto)
Montchretien (Antoyne de)	Montchretien (Antoyne de)
Monte Brixiano (D. Hieronimo de)	Monte Brixiano (D Hieronimo de)
Montealegre (Joanne)	Montealegre (Joanne)
Montecucoli (Principe Raymundo)	Montecucoli (Raymundo)
Montemar (El Conde de)	Montemar (El de)
Montemayor (D. Juan Francisco)	Montemayor (D Juan Francisco)
Montemayor (Jorge de)	Montemayor (Jorge de)
Montengon (D. Pedro)	Montengon (D Pedro)
Montero (D. D. Juan Benites)	Montero (D D Juan Benites)
Montero (D. Felipe Ignacio)	Montero (D Felipe Ignacio)
Monteroso (Gabriel)	Monteroso (Gabriel)
Montes (Diego)	Montes (Diego)
Montesino (Ambrosio)	Montesino (Ambrosio)
Montfaucon (D. Bernardi de)	Montfaucon (D Bernardo de)
Montholonio (Jo)	Montholonio (Jo)
Montiano Muñando (Dn Agustin)	Montiano Muñando (Dn Agustin)
Montoro (Dn Josef Perez de)	Montoro (Dn Josef Perez de)
Montoya (Pedro Lopez de)	Montoya (Pedro Lopez de)
Monzambano (Severini de)	Monzambano (Severini de)
Monzon (Dn Ramon Vicenti)	Monzon (Dn Ramon Vicenti)
Mora (Juan de)	Mora (Juan de)
Mora (Lic. D. Juan Agustín de)	Mora (Lic D Juan Agustín de)
Mora Navaba (D. Pablo)	Mora Navaba (D Pablo)
Moradell (Domingo de)	Moradell (Domingo de)
Morado (D. Bernardo)	Morado (D Bernardo)
Morales (Ambrosio)	Morales (Ambrosio)
Morales (Ambrosio de)	Morales (Ambrosio de)
Morales (Dn Jadragui)	Morales (Dn Jadragui)
Morani. Brioni (Jacobi)	Morani Brioni (Jacobo)
Morelius (Andreas)	Morelius (Andreas)
Moreno de Vargas (Bernabé)	Moreno de Vargas (Bernabé)
Moreno (Dn Antonio)	Moreno (Dn Antonio)
Moreno Moralez (Fr. Antonio)	Moreno Moralez (Fr Antonio)
Moreno (P. Josef)	Moreno (P Josef)
Moreri (Louis)	Moreri (Luis)
Moreto (D. Agustin)	Moreto (D Agustin)
Morgado (Alonso)	Morgado (Alonso)
Morganti (Bento)	Morganti (Bento)
Morguès (Mesire Matthieu de)	Morguès (Mesire Matthieu de)
Morhofii (Danielis Georgii)	Morhofii (Danielis Jorge)
Mori (Thomae)	Mori (Tomás)
Morla (D. D. Diego)	Morla (D D Diego)
Mornaeii (Antonii)	Mornaeii (Antonio)
Morote (F. Pedro)	Morote (F Pedro)
Mortazo (D.º Francis)	Mortazo (º Francis)
Morton (J. Leon)	Morton (J Leon)
Morvedre (Bernardino Gomez Miedey Artiaca de)	Morvedre (Bernardino Gomez Miedey Artiaca de)
Morzilii (Sebastiani Foxii)	Morzilii (Sebastiani Foxii)
Moscoso (Ex. Señor D.º Balthasar de)	Moscoso (Ex º Balthasar de)
Mosquera (D.º Dionisio)	Mosquera (º Dionisio)
Mosquera (D.º Fran.º)	Mosquera (º Fran.º)
Mota Le vayer (Señor dela)	Mota Le vayer (dela)
Mothe de Vayer (M.º dela)	Mothe de Vayer (M.º dela)
Motmorena (Franc.)	Motmorena (Franc.)
Moya... (Juan Perez de)	Moya (Juan Perez de)
Moyne (Pedro)	Moyne (Pedro)
Mugno (Dn Filadelfo)	Mugno (Dn Filadelfo)
Mulleri Greiffensti (Andreae)	Mulleri Greiffensti (Andreae)
Mulleri (Jo. Jac.)	Mulleri (Jo Jac.)
Mullerus (Petrus)	Mullerus (Pedro)
Mulzer (Ignatii)	Mulzer (Ignatii)
Munadov (Juan Thomas)	Munadov (Juan Tomás)
Munnesii (Petri Jo.)	Munnesii (Pedro Jo.)
Muñiz (Fr. Roberto)	Muñiz (Fr Roberto)
Muñoz (D. Juan Bautista)	Muñoz (D Juan Bautista)
Muñoz (D. Miguel Eugenio)	Muñoz (D Miguel Eugenio)
Muñoz de la Cueva (D. F. Juan)	Muñoz de la Cueva (D F Juan)
Muñoz (Dn Antonio)	Muñoz (Dn Antonio)
Muratori (Gian Francesco)	Muratori (Gian Francesco)
Muratori (L. Antonio)	Muratori (L Antonio)
Muratori (Luis Ant.)	Muratori (Luis Ant.)
Mureti (M. Antoni)	Mureti (M Antoni)
Murillo (Fr. Diego)	Murillo (Fr Diego)
Murillo (Thom.)	Murillo (Thom.)
Murillo Velarde (P. Pedro)	Murillo Velarde (P Pedro)
Murtola (Gasparo)	Murtola (Gasparo)
Musaii (Cro. et Leandri)	Musaii (Cro et Leandri)
Musancio (Joanne Dominico)	Musancio (Joanne Dominico)
Musauertius (Claudius)	Musauertius (Claudius)
Mut... (Vicente)	Mut (Vicente)
Nafarrondo (D. D. Josef)	Nafarrondo (D D Josef)
Najas Zarco y Colona (D.º Fivyo)	Najas Zarco y Colona (º Fivyo)
Nani... (Baptista)	Nani (Baptista)
Narbona (D.)	Narbona (D.)
Narbona (D. D. Alfonso)	Narbona (D D Alfonso)
Narbona (D. Didaco)	Narbona (D Didaco)
Narbona (D. Eugenio)	Narbona (D Eugenio)
Narbona (D. Pedro Tenorio Arzobispo de Toledo)	Narbona (D Pedro Tenorio de Toledo)
Narbona (Jo.)	Narbona (Jo.)
Nardi (Baltasar)	Nardi (Baltasar)
Natianzemi (Sancti Gregorii)	Natianzemi (Sancti Gregorio)
Natin Mariteo (Rolando)	Natin Mariteo (Rolando)
Nature de Peña (El Ldo Diego)	Nature de Peña (El Ldo Diego)
Naudaei (Gabrielis)	Naudaei (Gabrielis)
Naude (Par. G.)	Naude (Par G.)
Navar de Carrera (Dº Manuel)	Navar de Carrera (Dº Manuel)
Navarra de la Cueva (Dn Pedro)	Navarra de la Cueva (Dn Pedro)
Navarra (Dn Sancho α)	Navarra (Dn Sancho α)
Navarra (Vltimo Dn Pedro de)	Navarra (Vltimo Dn Pedro de)
Navarrete (Dn Fran.co)	Navarrete (Dn Fran.co)
Navarrete (Ldo. Pedro)	Navarrete (Ldo Pedro)
Navarrete (P. M. Fr. Domingo Fernandez)	Navarrete (P M Fr Domingo Fernandez)
Navarro (Antonio)	Navarro (Antonio)
Navarro (Dº Cayetano García)	Navarro (Dº Cayetano García)
Navarro (Dº Fernando de)	Navarro (Dº Fernando de)
Navarro (Dº Gaspar)	Navarro (Dº Gaspar)
Navarro y Abel de Neas (Dº Dº Benito)	Navarro y Abel de Neas (Dº Dº Benito)
Navera (P. f. Juande)	Navera (P f Juande)
Navera (P. Manuel de)	Navera (P Manuel de)
Navera (P. P. Joannis)	Navera (P P Joannis)
Nebot... (Gerardi)	Nebot (Gerardi)
Nebrixa (Antonii)	Nebrixa (Antonio)
Necker (Mr.)	Necker (Mr.)
Nentoni (Isaci)	Nentoni (Isaci)
Nepotis (Cornelii)	Nepotis (Cornelii)
Nepveu (P. Francisco)	Nepveu (P Francisco)
Nestares (D. Simon Marvade)	Nestares (D Simon Marvade)
Nettelbladt (Danielis)	Nettelbladt (Danielis)
Netteswanoi (B. Juan)	Netteswanoi (B Juan)
Neugebauer a Cadano (Salomone)	Neugebauer a Cadano (Salomone)
Neuhusi (Reineri)	Neuhusi (Reineri)
Neuwemberg (P. Jean Ensebe)	Neuwemberg (P Juan Ensebe)
Nicasio (Claudio et Nicolas toinazdo)	Nicasio (Claudio et Nicolas toinazdo)
Nicci Erithraei (Jani)	Nicci Erithraei (Jani)
Niceron (R.P.)	Niceron (R.P.)
Nicolai (Augustini)	Nicolás (Agustín)
Nicolai (Joan)	Nicolás (Joan)
Nieepont (S.H.)	Nieepont (H.)
Nieuhovium (Jo)	Nieuhovium (Jo)
Nigri... (Gerardi)	Nigri (Gerardi)
Niño... (Fr. Juanetin)	Niño (Fr Juanetin)
Nipho... (Dn Francisco Mariano)	Nipho (Dn Francisco Mariano)
Nipho... (Dn Mariano)	Nipho (Dn Mariano)
Niphus... (Augustinus)	Niphus (Agustín)
Nitzianii (Phil. Reinh.)	Nitzianii (Phil Reinh.)
Noble (M. le)	Noble (M le)
Noceti (R.P. Carolus)	Noceti (R.P Carlos)
Nodale (Bartholome Garcia y Gonzalo de)	Nodale (Bartholome Garcia y Gonzalo de)
Nolegar (Conde de)	Nolegar
Nolet (El Abate)	Nolet (El Abate)
Noltenii Einbeccensis (Jo. Frideric)	Noltenii Einbeccensis (Jo Frideric)
Nomeseii (Nicolai)	Nomeseii (Nicolás)
Nonii... (Duardi)	Nonii (Duardi)
Nonii Leonis (Duardi)	Nonii Leonis (Duardi)
Nonii Medici (Ludovici)	Nonii Medici (Luis)
Noordkerk (Hermannni)	Noordkerk (Hermannni)
Normante (Del S.r)	Normante (Del r)
Noui (Seigneur de la)	Noui (Seigneur de la)
Novaria (P. J. Thomas)	Novaria (P J Tomás)
Numesii (Pet. Joan.)	Numesii (Pet Joan.)
Numii (D° Fran°)	Numii (D° Fran°)
Núñez (Albar)	Núñez (Albar)
Núñez de Castro (Dn Alonso)	Núñez de Castro (Dn Alonso)
Nuñez de la Peña (Liz. D. Juan)	Nuñez de la Peña (Liz D Juan)
Nuñez de Leao (D. Duarte)	Nuñez de Leao (D Duarte)
Núñez Delgado (Petrii)	Núñez Delgado (Petrii)
Nuñez (Duarte)	Nuñez (Duarte)
Nux (Dn Juan)	Nux (Dn Juan)
Nux (Giovani)	Nux (Giovani)
Obrechtii (Vlrici)	Obrechtii (Vlrici)
Obregon (D. Ignacio)	Obregon (D Ignacio)
Obregon (Lope)	Obregon (Lope)
Obregon y Cereceda (Ant: de)	Obregon y Cereceda (Ant: de)
Ocampo (Florian)	Ocampo (Florian)
Occone (Ab Adolfo)	Occone (Ab Adolfo)
Occone (Adolfo)	Occone (Adolfo)
Ochaga (Dn Petrus)	Ochaga (Dn Pedro)
Ochoa de la Sal (Juan)	Ochoa de la Sal (Juan)
Ohlius (Jo. Andor)	Ohlius (Jo Andor)
Oifelio (Jacobo)	Oifelio (Jacobo)
Oihenarti (Arnavi)	Oihenarti (Arnavi)
Ojeda (Fr. Diego de)	Ojeda (Fr Diego de)
Ojeda (P. Pedro)	Ojeda (P Pedro)
Olano (Joanne Martinez)	Olano (Joanne Martinez)
Oldemburgo (Philippo Andreae)	Oldemburgo (Philippo Andreae)
Olea (D. Alphonsi)	Olea (D Alphonsi)
Olenfildani (Didimi Veridici)	Olenfildani (Didimi Veridici)
Oliveri.. (Joan.)	Oliveri (Joan.)
Olmeday León (D.º Josefox)	Olmeday León (º Josefox)
Oloriz (P.D. Juan Christomo Benito de)	Oloriz (D Juan Christomo Benito de)
Omicallia (Agostino)	Omicallia (Agostino)
Onciaci (Guilielmi)	Onciaci (Guilielmi)
Oña (Pedro de)	Oña (Pedro de)
Opmeer (Petro ab)	Opmeer (Petro ab)
Orellano (D. Francisco Vicente)	Orellano (D Francisco Vicente)
Oren. (Juan)	Oren (Juan)
Ormaiz (Josef)	Ormaiz (Josef)
Ornii (Pauli)	Ornii (Pablo)
Oroni (Jo)	Oroni (Jo)
Oroz (D. Hieron.de)	Oroz (D Hieron.de)
Orozco (Fr. Alfonso)	Orozco (Fr Alfonso)
Orozii (Hieronymi)	Orozii (Jerónimo)
Orozii (Hieronymi Episc.)	Orozii (Jerónimo Episc.)
Orsi (Fr. Josephi Augustini)	Orsi (Fr Josephi Agustín)
Ortega (D. Ignatii Josef ab)	Ortega (D Ignatii Josef ab)
Ortega (Dn. Franc. Ign.)	Ortega (Dn Franc Ign.)
Ortega (Fr. Francisco)	Ortega (Fr Francisco)
Ortega, Melgares, et alpinota (D. Severianus Antonius)	Ortega Melgares et alpinota (D Severianus Antonio)
Ortega y Correa (Dn. Ign. José)	Ortega y Correa (Dn Ign José)
Ortelii (Abrahami)	Ortelii (Abrahami)
Ortiz de Zúñiga (D. Diego)	Ortiz de Zúñiga (D Diego)
Ortiz (F. Francisco)	Ortiz (F Francisco)
Ortiz (F. Francisco Fernandez Perez & Juan de la Peña)	Ortiz (F Francisco Fernandez Perez & Juan de la Peña)
Ortiz (Josef Mariano)	Ortiz (Josef Mariano)
Ortuoni Westembergii (Joanni)	Ortuoni Westembergii (Joanni)
Osmont (J. B. C.)	Osmont (J B C.)
Osonii (D. De Florio)	Osonii (D De Florio)
Osonii (D. Hieronimi)	Osonii (D Hieronimi)
Osonii (Eund. D. opus)	Osonii (Eund D opus)
Osonii (Hieronymi)	Osonii (Jerónimo)
Osorio Barba (Lorenzo)	Osorio Barba (Lorenzo)
Osorio (F. Antonio)	Osorio (F Antonio)
Ostrio (Eund. id. opus)	Ostrio (Eund id opus)
Ostrio (F. Hieronimo)	Ostrio (F Hieronimo)
Oteiza y Olano (Athanasio)	Oteiza y Olano (Athanasio)
Otero ... (D. Antonio Fernandez)	Otero (D Antonio Fernandez)
Othonis ... (Everardi)	Othonis (Everardi)
Ovalle (Alonso)	Ovalle (Alonso)
Ovando (P. Frande)	Ovando (P Frande)
Owenti. (Juan)	Owenti (Juan)
Oxi (Dn. Francisco)	Oxi (Dn Francisco)
Oxir (Blasi)	Oxir (Blasi)
Oxir (Dn. Diego)	Oxir (Dn Diego)
Oyanguren (D. Íñigo)	Oyanguren (D Íñigo)
Oyao. (dic. D. Fran. D.)	Oyao (dic D Fran D.)
Ozaeta y Gallarzegni (D. Jo. Hipolito)	Ozaeta y Gallarzegni (D Jo Hipolito)
Ozta Yelburquiz (M. D. Pedro Luis)	Ozta Yelburquiz (M D Pedro Luis)
Pace (Fr. Fran.)	Pace (Fr Fran.)
Pace (Manus. Salon de)	Pace (Manus Salon de)
Pacheco (D. Luis)	Pacheco (D Luis)
Pacheco de Narvaez (D. Luis)	Pacheco de Narvaez (D Luis)
Pacheco (Fran.)	Pacheco (Fran.)
Pacheco (M. D. Fran.)	Pacheco (M D Fran.)
Pachichellis (To. Bapt.)	Pachichellis (To Bapt.)
Padicio (Francisco del Reyno)	Padicio (Francisco del Reyno)
Padilla (D. Agustín Laurencio)	Padilla (D Agustín Laurencio)
Padilla (D. Francisco)	Padilla (D Francisco)
Padilla (D. Lorenzo)	Padilla (D Lorenzo)
Padilla (D. Pedro)	Padilla (D Pedro)
Padilla (Fr. Pedro de)	Padilla (Fr Pedro de)
Padilla (Franciscus)	Padilla (Francisco)
Padilla (Pedro)	Padilla (Pedro)
Padilla y Meneses (Antonius B.)	Padilla y Meneses (Antonio B.)
Paediani (Antonio)	Paediani (Antonio)
Paganini (Gaudenzio)	Paganini (Gaudenzio)
Pagenstecher (Alexandri Arnoldi)	Pagenstecher (Alexandri Arnoldi)
Pagenstecheri (A.C.A.)	Pagenstecheri (A.C.A.)
Pagenstecheri (Alexandri Arnoldi)	Pagenstecheri (Alexandri Arnoldi)
Pagenstecheri (E.A.)	Pagenstecheri (E.A.)
Pagnino (Sancte)	Pagnino (Sancte)
Palacio (D. Diego García de)	Palacio (D Diego García de)
Palafox. (D. Juan de)	Palafox (D Juan de)
Palafox (Hmo. D. Juan)	Palafox (Hmo D Juan)
Palafox (Illmo. Dtor Juan)	Palafox (Illmo Dtor Juan)
Palafox (Ilmo. Señor)	Palafox
Palafox Rubio (Jaime)	Palafox Rubio (Jaime)
Palafox Rubio (Jo. Lup.)	Palafox Rubio (Jo Lup.)
Palafox Rubio (Joanes)	Palafox Rubio (Joanes)
Palavicino (Ferrante)	Palavicino (Ferrante)
Palazzo. (P. Ant.)	Palazzo (P Ant.)
Paleotius. (Gabriel)	Paleotius (Gabriel)
Pallarino. (P. Fortia)	Pallarino (P Fortia)
Palmexii (Jacob)	Palmexii (Jacob)
Palmireni Campi (Laurenti)	Palmireni Campi (Laurenti)
Palmireni (Laurent)	Palmireni (Laurent)
Palmireno (Lorenzo)	Palmireno (Lorenzo)
Palomino (D. Antonio)	Palomino (D Antonio)
Palomino (Velasco)	Palomino (Velasco)
Pamphili (Eusebius)	Pamphili (Eusebius)
Pancirola (Guido)	Pancirola (Guido)
Pancirola (Guidonis)	Pancirola (Guidonis)
Pancirola Regiensis (D. Guido)	Pancirola Regiensis (D Guido)
Pancorvini (Francisci veracii)	Pancorvini (Francisco veracii)
Panel (D. Alessandro Daries)	Panel (D Alessandro Daries)
Panneo (F. Philippo)	Panneo (F Philippo)
Pannuto (D. Paulo)	Pannuto (D Paulo)
Panormita (Antonio)	Panormita (Antonio)
Panormita (Miser Antonio)	Panormita (Miser Antonio)
Panormitani (Abatis)	Panormitani (Abatis)
Pantheo (Ioane Augusto)	Pantheo (Ioane Augusto)
Pantoja de Ayala (Ferri)	Pantoja de Ayala (Ferri)
Panzano (Cristino)	Panzano (Cristino)
Panzirchi (Giudi)	Panzirchi (Giudi)
Papebroch (Danielis)	Papebroch (Danielis)
Par y Cunaxoy (D. Joaquin)	Par y Cunaxoy (D Joaquin)
Paradini (Claudii)	Paradini (Claudii)
Paramo (D. Lacdovici)	Paramo (D Lacdovici)
Paramo (D. Ludovici)	Paramo (D Luis)
Paravicini (Vicenti)	Paravicini (Vicenti)
Pardini (Clv. Claude)	Pardini (Clv Claude)
Pardini (Guellermus)	Pardini (Guellermus)
Pardo (D. Jeronimo)	Pardo (D Jeronimo)
Pardo (Juan de)	Pardo (Juan de)
Parenta (Bernardo)	Parenta (Bernardo)
Parexa et Quesada (D. Gabrielis)	Parexa et Quesada (D Gabrielis)
Parisis (Flaminio)	Parisis (Flaminio)
Parisius (Fili)	Parisius (Fili)
Parraga (D. Gabriel)	Parraga (D Gabriel)
Parrasi (Jani)	Parrasi (Jani)
Parreño (Baltazar)	Parreño (Baltazar)
Parrino (Domenico Antonio)	Parrino (Domenico Antonio)
Parthenu (Nicolaus)	Parthenu (Nicolás)
Paruta (Philipo)	Paruta (Philipo)
Pascal (C.U.)	Pascal (C.U.)
Pascali (Carolus)	Pascali (Carlos)
Passeratii (Jani)	Passeratii (Jani)
Pastor (D. Julian Hilarion)	Pastor (D Julian Hilarion)
Pastorius (Joachimus)	Pastorius (Joachimus)
Patarol (Laurentius)	Patarol (Laurentius)
Paterculo (Cayo Velleyo)	Paterculo (Cayo Velleyo)
Paterculo (Velleio)	Paterculo (Velleio)
Patin (Charly)	Patin (Charly)
Patini (Carlos)	Patini (Carlos)
Patini (Caroli)	Patini (Carlos)
Patino (Carlos)	Patino (Carlos)
Patino (Carolos)	Patino (Carolos)
Paton (Bartholome Ximeñez)	Paton (Bartholome Ximeñez)
Patuzzi (P.F. Giovan Vincenzo)	Patuzzi (F Giovan Vincenzo)
Paujicaycuodertur (T. de Noraza)	Paujicaycuodertur (T de Noraza)
Pauvs. (Guilielmi)	Pauvs (Guilielmi)
Paz (D. Christofori)	Paz (D Christofori)
Paz (F. Francisci)	Paz (F Francisco)
Paz (Gonzalo Suarez de)	Paz (Gonzalo Suarez de)
Pecki (Petri)	Pecki (Pedro)
Peckii (Petri)	Peckii (Pedro)
Pedraza (D. Fran. Bermudez)	Pedraza (D Fran Bermudez)
Pegar (D. Emanuelis)	Pegar (D Emanuelis)
Pelandi (Hadriano)	Pelandi (Hadriano)
Pelegrín (Blanco)	Pelegrín (Blanco)
Peliser (D. Josef)	Peliser (D Josef)
Pellicer (D. José)	Pellicer (D José)
Pellicer (D. Josef)	Pellicer (D Josef)
Pellicer (D. Juan Ant.)	Pellicer (D Juan Ant.)
Pellicer de Ovando y Tovar (D. José)	Pellicer de Ovando y Tovar (D José)
Pellicer de Tovar Abarca (D. José)	Pellicer de Tovar Abarca (D José)
Pellicer de Tovar (D. José)	Pellicer de Tovar (D José)
Pellicer de Tovar (D. Josef)	Pellicer de Tovar (D Josef)
Pellicer (Defensa de España)	Pellicer (Defensa de España)
Pellicer (Gabriel Alvarez de Toledo)	Pellicer (Gabriel Alvarez de Toledo)
Pelliser (D. Josef)	Pelliser (D Josef)
Peltronium (Ptolocæum)	Peltronium (Ptolocæum)
Pelzhoffer (D. Francisco)	Pelzhoffer (D Francisco)
Pennal (D. Lucas)	Pennal (D Lucas)
Pennimezi (Hh. Fr. Fh. etiam)	Pennimezi (Hh Fr Fh etiam)
Penotti (Nicolò)	Penotti (Nicolò)
Peña Montenegro (Ilmo. D. Alonso de)	Peña Montenegro (D Alonso de)
Peñafiel y Araujo (P. Alonso X.)	Peñafiel y Araujo (P Alonso X.)
Peñalosa (P. Pedro de)	Peñalosa (P Pedro de)
Peñon (P. M. F. Francisco)	Peñon (P M F Francisco)
Pequera (D. Luis)	Pequera (D Luis)
Pequet (C.V.)	Pequet (C.V.)
Peraldus (Guillelmus)	Peraldus (Guillelmus)
Peraldus (H. Guillelmus)	Peraldus (H Guillelmus)
Peralta, Barnuevo y Rocha (D. Pedro de)	Peralta Barnuevo y Rocha (D Pedro de)
Peralta (D. Antonio)	Peralta (D Antonio)
Peralta (D. D. Pedro de)	Peralta (D D Pedro de)
Peralta (D. Narciso)	Peralta (D Narciso)
Peralta (D. Petrus)	Peralta (D Pedro)
Peralta y Barnuevo (D. Pedro de)	Peralta y Barnuevo (D Pedro de)
Peregrini (Matheo)	Peregrini (Matheo)
Pererio Viola (R.P. Martino)	Pererio Viola (R.P Martino)
Pereyra (Antonio)	Pereyra (Antonio)
Pereyra (D. Josef Fausto)	Pereyra (D Josef Fausto)
Pereyra (Manuel)	Pereyra (Manuel)
Perez (Alfonso)	Perez (Alfonso)
Pérez (Antonio)	Pérez (Antonio)
Pérez (D. D. Gerónimo)	Pérez (D D Gerónimo)
Pérez (D. José)	Pérez (D José)
Pérez (D. Vicente)	Pérez (D Vicente)
Pérez de Barga (Bernardo)	Pérez de Barga (Bernardo)
Pérez de Ciega (Diego)	Pérez de Ciega (Diego)
Pérez de Guzmán (Hernán)	Pérez de Guzmán (Hernán)
Pérez de Herrera (D. Christoval)	Pérez de Herrera (D Christoval)
Pérez de Oliva (en. Fernan)	Pérez de Oliva (en Fernan)
Pérez (Didaco)	Pérez (Didaco)
Perez (Fr. Ant.)	Perez (Fr Ant.)
Pérez Ledezma (D. Gonzalo)	Pérez Ledezma (D Gonzalo)
Pérez (Luis)	Pérez (Luis)
Pérez Pastor (D. Miguel)	Pérez Pastor (D Miguel)
Perez Ramirez (Antonio)	Perez Ramirez (Antonio)
Pérez Valiente (D. Petrus José)	Pérez Valiente (D Pedro José)
Pérez Villanueva (D. Pasqual)	Pérez Villanueva (D Pasqual)
Pérez y López (D. D. Antonio Núñez)	Pérez y López (D D Antonio Núñez)
Pérez y López (D. D. Antonio Xabier)	Pérez y López (D D Antonio Xabier)
Pericioni (Jacob)	Pericioni (Jacob)
Perizonii (Jacob)	Perizonii (Jacob)
Perizonii (Jacobi)	Perizonii (Jacobo)
Pero (Francisco)	Pero (Francisco)
Perpiniani (Petri Jo.)	Perpiniani (Pedro Jo.)
Perruchchii (Georgi)	Perruchchii (Georgi)
Petavius (J. Dionisii)	Petavius (J Dionisii)
Petavius (Paulo)	Petavius (Paulo)
Petit (Chr.)	Petit (Chr.)
Petit (Pierre)	Petit (Pedro)
Petite (Fr. Anselmo)	Petite (Fr Anselmo)
Petiti (Samuelis)	Petiti (Samuelis)
Petrarca (Fran.)	Petrarca (Fran.)
Petrarca (Francisco)	Petrarca (Francisco)
Petreii (Joa)	Petreii (Joa)
Petri (Cufidi)	Pedro (Cufidi)
Petri (Iulianii)	Pedro (Iulianii)
Petri toletani (Iuan)	Pedro toletani (Iuan)
Petroni (Satiricon)	Petroni (Satiricon)
Philipino (Io. Christomo)	Philipino (Io Christomo)
Philonides (Iudei)	Philonides (Iudei)
Phrancæ (Georgi)	Phrancæ (Georgi)
Piccarti (Micaelis)	Piccarti (Micaelis)
Piccolominao (Enes Silvio)	Piccolominao (Enes Silvio)
Pichardi (Antoni)	Pichardi (Antoni)
Pichardo Vinuera (Antonio)	Pichardo Vinuera (Antonio)
Picher (D. Antonio)	Picher (D Antonio)
Pichio (Alberto)	Pichio (Alberto)
Pichler (R.P. Pito)	Pichler (R.P Pito)
Pici (Alberti)	Pici (Alberti)
Picineno (P. Filipo)	Picineno (P Filipo)
Pictorii (Guidonici)	Pictorii (Guidonici)
Piedra Buena (M. Antonino)	Piedra Buena (M Antonino)
Pien (S.)	Pien (S.)
Pighii (Stephani)	Pighii (Esteban)
Pignonio (Laurentius)	Pignonio (Laurentius)
Pimentel, M. (D. Enríquez)	Pimentel M (D Enríquez)
Pinciano (P. Alonso López)	Pinciano (P Alonso López)
Pincier (Cunradi)	Pincier (Cunradi)
Pineda (Joanis &)	Pineda (Joanis &)
Pineda (R. Fernando)	Pineda (R Fernando)
Pinedo y Salazar (Dn. Julian &)	Pinedo y Salazar (Dn Julian &)
Pinel y Monrroy (D. Fran.)	Pinel y Monrroy (D Fran.)
Pingarrón (P. Manuel)	Pingarrón (P Manuel)
Pingoni (Feliberi)	Pingoni (Feliberi)
Pinni (D. Rochi)	Pinni (D Rochi)
Pintiani (Ferdinandi)	Pintiani (Ferdinandi)
Pinto Pacheco (Francisco)	Pinto Pacheco (Francisco)
Pinto Sornel (Sarpán)	Pinto Sornel (Sarpán)
Pinuy (Joane)	Pinuy (Joane)
Pio Sexto (Bula de)	Pio Sexto (Bula de)
Piquer (P. Andrés)	Piquer (P Andrés)
Pirci (S. Mariano)	Pirci (S Mariano)
Pirhing (P. Bernicii)	Pirhing (P Bernicii)
Pitaval (Mr. Gayot de)	Pitaval (Mr Gayot de)
Pithoei (Franc.)	Pithoei (Franc.)
Pithoei (Petri)	Pithoei (Pedro)
Pitila y Ruega (D. Andre)	Pitila y Ruega (D Andre)
Pitilla y  Ruega (D. Andrés)	Pitilla y Ruega (D Andrés)
Pizarro (D. Fern.)	Pizarro (D Fern.)
